sno,Season,Episode,utterance,speaker,start,start_seconds,end,end_seconds,sentiment,emotion presented,emotion perceived
122,1,4,No. Meena?,Meena,05:17,317,05:18,318,Neutral,Neutral,Neutral
123,1,4,I think even I should go. ,Vaibhav,05:27,327,05:29,329,Neutral,Neutral,Neutral
124,1,4, Of course. ,Uday,05:29,329,05:30,330,Negative,Anger(sarcasm),Neutral
125,1,4,Come along.,Uday,05:30,330,05:30,330,Negative,Anger(sarcasm),Neutral
126,1,4,Right?,Vaibhav,05:31,331,05:32,332,Neutral,Neutral,Neutral
127,1,4,Thank you.,Vaibhav,05:32,332,05:33,333,Positive,Joy,Neutral
128,1,4, Next year.,Uday,05:33,333,05:34,334,Negative,Anger,Neutral
129,1,4,For the Dussehra fair.,Uday,05:35,335,05:36,336,Negative,Anger,Anger
130,1,4,You go.,Vaibhav,05:42,342,05:43,343,Negative,Anger,Neutral
131,1,4, I shall study.,Vaibhav,05:43,343,05:44,344,Negative,Anger,Neutral
132,1,4,Take this.,Meena,05:52,352,05:53,353,Neutral,Neutral,Neutral
133,1,4,A Vernier caliper for you.,Meena,05:53,353,05:55,355,Neutral,Neutral,Neutral
134,1,4,Thanks.,Meenal,05:55,355,05:56,356,Neutral,Neutral,Joy
135,1,4,What are you doing?,Meenal,06:06,366,06:07,367,Neutral,Neutral,Neutral
136,1,4,Exactly what you told me to do.,Meena,06:09,369,06:11,371,Neutral,Neutral,Neutral
137,1,4,Relax.,Meena,06:11,371,06:12,372,Positive,joy,Surprise
138,1,4,Is the coaching going well?  ,Lab teacher,06:25,385,06:26,386,Negative,Anger(sarcastic),Neutral
139,1,4," Very good, sir.",Vaibhav,06:26,386,06:27,387,Neutral,Neutral,Anger
140,1,4, It must be.,Lab teacher,06:27,387,06:28,388,Negative,Anger(sarcastic),Neutral
141,1,4,You don't have time to write your own lab report.,Lab teacher,06:28,388,06:29,389,Negative,Anger,Neutral
142,1,4,"No, sir.",Vaibhav,06:30,390,06:31,391,Neutral,Neutral,Anger
143,1,4,I can tolerate the value of g up to 7. ,Lab teacher,06:31,391,06:34,394,Negative,Anger,Neutral
144,1,4,But I cannot tolerate lies.,Lab teacher,06:35,395,06:36,396,Negative,Anger,Neutral
145,1,4,You coaching students don't respect school.,Lab teacher,06:39,399,06:41,401,Negative,Anger,Neutral
146,1,4,"You have come to school for the first time, haven't you? ",Lab teacher,06:42,402,06:43,403,Negative,Anger,Neutral
147,1,4," No, sir.",Vaibhav,06:43,403,06:44,404,Neutral,Neutral,Neutral
148,1,4,I came. ,Vaibhav,06:44,404,06:45,405,Neutral,Neutral,Anger
149,1,4,  You're lying again. ,Lab teacher,06:45,405,06:45,405,Negative,Anger,Neutral
150,1,4,"No, sir.",Vaibhav,06:45,405,06:46,406,Neutral,Neutral,Neutral
151,1,4,I came several times.,Vaibhav,06:46,406,06:47,407,Neutral,Neutral,Neutral
152,1,4,How much do puffs cost in the canteen?,Lab teacher,06:51,411,06:52,412,Neutral,Neutral,Surprise
153,1,4,You think I am an idiot? ,Lab teacher,06:55,415,06:56,416,Negative,Anger,Neutral
154,1,4,I can tell by looking at the handwriting....the chap at the Xerox center has written it. ,Lab teacher,06:56,416,06:59,419,Negative,Anger,Neutral
155,1,4,This is Gupta's handwriting. ,Lab teacher,06:59,419,07:00,420,Negative,Anger,Neutral
156,1,4,"You are from Prodigy,aren't you? ",Lab teacher,07:01,421,07:02,422,Negative,Anger,joy
157,1,4,"Yes, sir.",Vaibhav,07:02,422,07:03,423,Positive,Joy,Anger
158,1,4,You can't be from Maheshwari. ,Lab teacher,07:03,423,07:04,424,Negative,Anger,Sadness
159,1,4,Tell Deepak I wish to see him. ,Lab teacher,07:05,425,07:07,427,Neutral,Neutral,Neutral
160,1,4,If he doesn't come to see me by tomorrow....I will fail all the Prodigy students. ,Lab teacher,07:07,427,07:10,430,Negative,Anger,Neutral
161,1,4,Then you can keep trying for the JEE advance.,Lab teacher,07:10,430,07:12,432,Negative,Anger,Neutral
162,1,4,You understand?,Lab teacher,07:13,433,07:14,434,Neutral,Neutral,Fear
163,1,4,"Yes, sir.",Vaibhav,07:14,434,07:15,435,Negative,fear,Neutral
164,1,4,Next. ,Lab teacher,07:17,437,07:18,438,Neutral,Neutral,Neutral
165,1,4, Vartika Ratawal.,Lab teacher,07:19,439,07:20,440,Neutral,Neutral,Neutral
166,1,4,Meena.,Vaibhav,07:57,477,07:58,478,Neutral,Neutral,Neutral
167,1,4, I will go with Uday.,Vaibhav,07:58,478,08:00,480,Neutral,Neutral,Surprise
168,1,4,What about me relaxing? ,Meena,08:00,480,08:01,481,Neutral,Surprise,Neutral
169,1,4,You relax at home.,Vaibhav,08:02,482,08:03,483,Neutral,Neutral,Sadness
170,1,4,Where are they going?,Meenal,08:07,487,08:08,488,Neutral,Neutral,Neutral
171,1,4," To sightsee all of Kota, inside out. ",Meena,08:09,489,08:11,491,Neutral,Neutral,Neutral
172,1,4,That is such a nice plan.,Meena,08:11,491,08:14,494,Positive,Joy,joy
173,1,4,"Vaibhav, you hop on Uday's vehicle and you come with me. ",Shivangi,08:32,512,08:34,514,Neutral,Neutral,Neutral
174,1,4,Excuse me.,Meenal,08:34,514,08:35,515,Neutral,Neutral,Neutral
175,1,4,"  Hello, friends.",Meenal,08:35,515,08:36,516,Neutral,Neutral,Neutral
176,1,4,Can I go with all of you to explore Kota?,Meenal,08:36,516,08:39,519,Neutral,Neutral,Surprise
177,1,4,You are?,Shivangi,08:40,520,08:41,521,Neutral,Neutral,Neutral
178,1,4, Meenal Parekh. ,Meenal,08:41,521,08:42,522,Neutral,Neutral,Neutral
179,1,4,(fake coughs) Nerd Alert (fake coughs) Get rid of her.,Uday,08:43,523,08:45,525,Neutral,Neutral,Surprise
180,1,4,Hello.,Uday,08:47,527,08:47,527,Neutral,Neutral,Neutral
181,1,4,Hi.,Meenal,08:47,527,08:48,528,Neutral,Neutral,Neutral
182,1,4,"You're most welcome, but we are already four.",Shivangi,08:49,529,08:52,532,Neutral,Neutral,Neutral
183,1,4,How can five of us go? ,Shivangi,08:52,532,08:53,533,Neutral,Neutral,Neutral
184,1,4,Six.,Meena,08:53,533,08:54,534,Neutral,Neutral,Neutral
185,1,4,Now that everyone is going I shall go too. ,Meena,08:54,534,08:56,536,Neutral,Neutral,Surprise
186,1,4,Hi. ,Vaibhav,08:56,536,08:57,537,Neutral,Neutral,Surprise
187,1,4,I'm Vaibhav.,Vaibhav,08:57,537,08:58,538,Neutral,Neutral,Neutral
188,1,4, Vartika.,Vartika,08:58,538,08:59,539,Neutral,Neutral,Neutral
189,1,4,"Shiv, why don't you all leave?",Vartika,08:59,539,09:01,541,Neutral,Neutral,Neutral
190,1,4,I'll take a rain check.,Vartika,09:01,541,09:03,543,Neutral,Neutral,Neutral
191,1,4,So we'll buy pads on the way.,Shivangi,09:03,543,09:05,545,Neutral,Neutral,Neutral
192,1,4," No, no. I have some.",Meenal,09:05,545,09:06,546,Neutral,Neutral,Surprise
193,1,4,No. No. This is not about periods.,Vartika,09:06,546,09:08,548,Neutral,Surprise,Neutral
194,1,4,I received Maheshwari's sample papers.. ,Vartika,09:09,549,09:10,550,Neutral,Neutral,Neutral
195,1,4,..and I couldn't solve any of it.,Vartika,09:10,550,09:12,552,Negative,Sadness,Neutral
196,1,4,"So, I should stay back and prepare for it.",Vartika,09:12,552,09:14,554,Neutral,Neutral,Anger
197,1,4, I made the entire plan for you.,Shivangi,09:14,554,09:16,556,Negative,Anger,Neutral
198,1,4, Yes.,Vartika,09:16,556,09:16,556,Neutral,Neutral,Anger
199,1,4,You're ditching us? ,Shivangi,09:16,556,09:17,557,Negative,Anger,Neutral
200,1,4,Sorry.,Vartika,09:17,557,09:18,558,Neutral,Neutral,Anger
201,1,4,Oh! With these boring people.. ,Shivangi,09:18,558,09:19,559,Negative,Anger,Neutral
202,1,4,..I will get bored.,Shivangi,09:21,561,09:22,562,Neutral,Neutral,Neutral
203,1,4,She's joking.,Vaibhav,09:22,562,09:23,563,Neutral,Neutral,Neutral
204,1,4,We are not boring. ,Vaibhav,09:24,564,09:25,565,Neutral,Neutral,Neutral
205,1,4," Yes, yes.",Uday,09:25,565,09:26,566,Neutral,Neutral,Neutral
206,1,4,We are very intelligent.,Uday,09:26,566,09:27,567,Neutral,Neutral,Neutral
207,1,4,These problems will be solved in 30 minutes. ,Uday,09:28,568,09:30,570,Neutral,Neutral,Neutral
208,1,4,Yes.Very easy. ,Vaibhav,09:30,570,09:31,571,Neutral,Neutral,Neutral
209,1,4,"Yes, yes.I'll help her solve it.  ",Vaibhav,09:32,572,09:33,573,Neutral,Neutral,Neutral
210,1,4," No worries, guys.",Vaibhav,09:33,573,09:34,574,Neutral,Neutral,Neutral
211,1,4,"Shivangi, please. ",Vartika,09:38,578,09:39,579,Neutral,Neutral,Anger
212,1,4,"No. Vartika, this is not done. ",Shivangi,09:39,579,09:41,581,Negative,Anger,Neutral
213,1,4,"Please. - Please, Shivangi. Please.",Vaibhav,09:42,582,09:43,583,Neutral,Neutral,Surprise
214,1,4,Okay.,Shivangi,09:50,590,09:51,591,Neutral,Neutral,Neutral
215,1,4,Go ahead and study. ,Shivangi,09:51,591,09:52,592,Neutral,Neutral,Neutral
216,1,4,"Well, alright.",Vaibhav,09:52,592,09:53,593,Neutral,Neutral,Neutral
217,1,4,Then I won't go either. ,Vaibhav,09:53,593,09:54,594,Neutral,Neutral,Surprise
218,1,4,Why?,Uday,09:54,594,09:55,595,Negative,Surprise,Neutral
219,1,4,How many times will you change your mind for one plan?,Uday,09:55,595,09:57,597,Negative,Anger,Neutral
220,1,4,We aren't going to Goa. ,Uday,09:57,597,09:58,598,Negative,Anger(sacrcatic),Neutral
221,1,4, I will help her study.,Vaibhav,09:58,598,10:00,600,Neutral,Neutral,Neutral
222,1,4,It will be a help to her.,Vaibhav,10:01,601,10:01,601,Neutral,Neutral,Neutral
223,1,4,In any case you are a group of four. ,Vaibhav,10:02,602,10:03,603,Neutral,Neutral,Neutral
224,1,4,She will study and get help.,Uday,10:03,603,10:05,605,Neutral,Neutral,Neutral
225,1,4, Meena will do it.,Uday,10:05,605,10:06,606,Neutral,Neutral,Neutral
226,1,4,"No, no. I shall go out.",Meena,10:06,606,10:07,607,Neutral,Neutral,Neutral
227,1,4,Jeetu Bhaiya said so.,Meena,10:07,607,10:08,608,Neutral,Neutral,Surprise
228,1,4,"It is okay, Uday. ",Vaibhav,10:09,609,10:10,610,Neutral,Neutral,Neutral
229,1,4,I shall make the sacrifice this time.,Vaibhav,10:12,612,10:13,613,Neutral,Neutral,Neutral
230,1,4,It's fine. ,Vaibhav,10:13,613,10:14,614,Neutral,Neutral,Neutral
231,1,4," No, no, Vaibhav.You come too.",Meena,10:14,614,10:15,615,Neutral,Neutral,Neutral
232,1,4,You will burn out if you don't relax. ,Meena,10:15,615,10:17,617,Neutral,Neutral,Neutral
233,1,4,Come. ,Meena,10:17,617,10:18,618,Neutral,Neutral,Neutral
234,1,4,We will adjust. Come. ,Meena,10:18,618,10:19,619,Neutral,Neutral,Neutral
235,1,4," No, no. You go.",Vaibhav,10:19,619,10:20,620,Neutral,Neutral,Neutral
236,1,4,You guys carry on.,Vaibhav,10:20,620,10:21,621,Neutral,Neutral,Sadness
237,1,4,"It's okay, buddy. ",Vaibhav,10:22,622,10:23,623,Neutral,Neutral,Neutral
238,1,4,"One spot is available now, right? ",Meenal,10:23,623,10:26,626,Neutral,Neutral,Neutral
239,1,4,Yeah!,Meenal,10:26,626,10:27,627,Positive,Joy,Neutral
240,1,4,Thanks.,Meenal,10:27,627,10:28,628,Positive,Joy,Neutral
241,1,4,You're sure you won't come?,Shivangi,10:31,631,10:32,632,Negative,Sadness,Neutral
242,1,4,You will miss a lot.,Shivangi,10:34,634,10:35,635,Neutral,Neutral,Neutral
243,1,4,Hold this Meena. ,Shivangi,10:38,638,10:39,639,Neutral,Neutral,Neutral
244,1,4,Let's go.,Uday,10:41,641,10:42,642,Neutral,Neutral,Neutral
245,1,4,"Bye, you guys. ",Shivangi,10:47,647,10:48,648,Neutral,Neutral,Neutral
246,1,4,Bye.,Vaibhav,10:48,648,10:49,649,Neutral,Neutral,Neutral
247,1,4,Don't be tense. ,Vaibhav,11:05,665,11:07,667,Neutral,Neutral,Neutral
248,1,4, We will do the paper. ,Vaibhav,11:07,667,11:08,668,Neutral,Neutral,Neutral
249,1,4,Just relax.,Vaibhav,11:08,668,11:09,669,Neutral,Neutral,Neutral
250,1,4,Thanks.,Vartika,11:10,670,11:11,671,Neutral,Neutral,Neutral
251,1,4,I'm Vartika. ,Vartika,11:12,672,11:13,673,Neutral,Neutral,joy
252,1,4, Ratawal. ,Vaibhav,11:13,673,11:14,674,Positive,Joy,Surprise
253,1,4, I know. I know.,Vaibhav,11:14,674,11:15,675,Positive,Joy,Neutral
254,1,4,Sorry. ,Vaibhav,11:18,678,11:19,679,Neutral,Neutral,Neutral
255,1,4,You introduced yourself earlier. ,Vaibhav,11:19,679,11:20,680,Neutral,Neutral,Neutral
256,1,4,Okay.,Vartika,11:21,681,11:22,682,Neutral,Neutral,Neutral
257,1,4,Sorry. Actually I didn't hear your name earlier. ,Vartika,11:25,685,11:28,688,Neutral,Neutral,Neutral
258,1,4,That's why I introduced myself again hoping you would repeat your name.,Vartika,11:28,688,11:32,692,Neutral,Neutral,Neutral
259,1,4,"So, your name?",Vartika,11:34,694,11:35,695,Neutral,Neutral,Neutral
260,1,4,Vaibhav. ,Vaibhav,11:35,695,11:36,696,Neutral,Neutral,Neutral
261,1,4,Vaibhav Ratawal.,Vaibhav,11:36,696,11:37,697,Negative,fear,Surprise
262,1,4,"Oh, sorry. How can I be Ratawal? ",Vaibhav,11:37,697,11:38,698,Neutral,Neutral,Neutral
263,1,4,Vaibhav Pandey.,Vaibhav,11:38,698,11:39,699,Neutral,Neutral,Neutral
264,1,4,"It was a little awkward, wasn't it?",Vaibhav,11:41,701,11:42,702,Neutral,Neutral,Neutral
265,1,4,But don't worry. ,Vaibhav,11:43,703,11:44,704,Neutral,Neutral,Neutral
266,1,4,We will solve the paper.,Vaibhav,11:44,704,11:45,705,Neutral,Neutral,Neutral
267,1,4,Okay.,Vartika,11:45,705,11:46,706,Neutral,Neutral,Neutral
268,1,4,You.. Sorry. Just relax,Vaibhav,11:46,706,11:48,708,Neutral,Neutral,Neutral
269,1,4,"No, no. Thank you.",Vartika,11:48,708,11:50,710,Neutral,Neutral,Neutral
270,1,4,Shall we?,Vaibhav,11:50,710,11:51,711,Neutral,Neutral,Neutral
271,1,4,What irony! ,Shivangi,12:10,730,12:11,731,Neutral,Neutral,Neutral
272,1,4,The cold coffee is the most famous dish at Chai paani. ,Shivangi,12:11,731,12:12,732,Positive,Joy,joy
273,1,4,One cold coffee.,Meenal,12:14,734,12:15,735,Neutral,Neutral,Neutral
274,1,4,Two.,Meena,12:15,735,12:16,736,Neutral,Neutral,Neutral
275,1,4," Shivangi, you are in Medical, aren't you?",Meenal,12:18,738,12:20,740,Neutral,Neutral,Neutral
276,1,4,I too wanted to be a doctor when I was young,Meenal,12:21,741,12:23,743,Neutral,Neutral,Neutral
277,1,4,but..,Meenal,12:23,743,12:24,744,Negative,Sadness,Neutral
278,1,4, But what?,Shivangi,12:25,745,12:26,746,Neutral,Neutral,Neutral
279,1,4,But when I grew up I turned out to be pretty emotional.,Meenal,12:26,746,12:29,749,Neutral,Neutral,Neutral
280,1,4,My dad said doctors can't be so emotional..,Meenal,12:29,749,12:32,752,Neutral,Neutral,Neutral
